Age,Gender,Nationality,Occupation,Monthly_Income,City,HealthDrinkFreq,HealthInfoSource,DietaryRestrictions,RegularBeverages,HealthyLifestyleImportance,HealthDrinkPreferences,DietChallenges,PurchaseLocation,WillingnessToSpend,LikelihoodTryNewBrand,WillingToSwitch,TryDrivers,FlavorPreferences,FunctionalNeeds,DrinkPerceptions,AssociatedBrands,LikelihoodToRecommend,SubscriptionInterest,Comments
18-24,Other,Western Expat,Homemaker,">50,000",Abu Dhabi,Rarely,Health Professionals,"Vegetarian, Vegan, Gluten-Free, Lactose-Free","Water, Juices, Energy Drinks, Sports Drinks, Tea/Coffee, Other",Very Important,"Taste, Natural Ingredients, Affordable Price, Brand Reputation, Convenience",Limited Options,Convenience Stores,5-10,Neutral,No,"Free Samples, Discounts, Recommendations, Attractive Packaging","Citrus, Tropical, Other","Immunity, Digestion, Weight Management, Stress Relief","Too Expensive, Not Tasty, Not Widely Available, Good Value, High Quality","BrandE, Brand_T",Likely,Maybe,
35-44,Female,Arab Expat,Other,"10,001-20,000",Ajman,Occasionally,Friends/Family,Vegetarian,"Water, Juices, Energy Drinks, Sports Drinks, Tea/Coffee, Milk, Other",Not Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Brand Reputation, Convenience, Other",Taste Preferences,Other,>25,Very Unlikely,No,"Free Samples, Discounts, Health Benefits","Berries, Tropical, Herbal","Immunity, Weight Management, No Specific Issues","Good Value, High Quality","Brand_P, BrandD",Very Unlikely,Maybe,
18-24,Female,Asian Expat,Homemaker,"10,001-20,000",Ajman,Never,Other,"Vegan, Lactose-Free","Water, Soft Drinks, Energy Drinks, Tea/Coffee",Not Important,"Taste, Low Sugar, Affordable Price, Brand Reputation, Other","Lack of Time, Cost, Lack of Information, Limited Options, Taste Preferences",Other,<5,Likely,Yes,"Free Samples, Attractive Packaging, Health Benefits","Tropical, Herbal, Other","Energy, Skin/Hair health","Not Widely Available, High Quality, Innovative","Brand_N, BrandB",Likely,No,
45-54,Male,Arab Expat,Working Professional,"<5,000",Other,Rarely,Health Professionals,"Vegan, Gluten-Free, Diabetic","Water, Juices, Sports Drinks, Tea/Coffee, Other",Somewhat Important,"Low Sugar, Natural Ingredients, Affordable Price, Convenience, Other","Cost, None",Cafes/Restaurants,<5,Likely,No,"Free Samples, Recommendations, Attractive Packaging","Berries, Citrus, Chocolate, Plain","Digestion, No Specific Issues","Not Tasty, Good Value, Innovative, Other","BrandE, Brand_Y",Likely,No,
45-54,Male,Asian Expat,Working Professional,"20,001-35,000",Ras Al Khaimah,Daily,Other,Vegan,"Water, Juices, Energy Drinks, Tea/Coffee",Extremely Important,"Low Sugar, Natural Ingredients, Affordable Price, Convenience, Other","Cost, Lack of Information, None",Supermarkets,11-15,Likely,Yes,"Free Samples, Health Benefits","Citrus, Chocolate","Immunity, Energy, Weight Management, No Specific Issues",Not Tasty,"BrandA, Brand_X",Very Likely,Maybe,
25-34,Prefer not to say,Emirati,Homemaker,"<5,000",Ajman,Frequently,Social Media,"Vegetarian, Gluten-Free, Lactose-Free, Diabetic","Water, Juices, Energy Drinks, Sports Drinks, Milk",Important,"Natural Ingredients, Affordable Price","Lack of Information, Limited Options, Taste Preferences",Cafes/Restaurants,<5,Neutral,No,"Discounts, Recommendations, Health Benefits","Berries, Tropical, Herbal","Stress Relief, No Specific Issues","Not Tasty, High Quality, Other","BrandD, Brand_S",Very Likely,Maybe,
55+,Female,Western Expat,Retired,"10,001-20,000",Abu Dhabi,Never,Social Media,"Gluten-Free, Lactose-Free, Diabetic","Water, Juices, Sports Drinks, Milk, Other",Extremely Important,"Taste, Added Vitamins, Affordable Price, Convenience",None,Other,<5,Unlikely,Maybe,"Free Samples, Discounts, Attractive Packaging, Health Benefits, Other","Tropical, Other","Skin/Hair health, No Specific Issues","Not Widely Available, Good Value, Other","Brand_Q, BrandA",Very Unlikely,No,
25-34,Prefer not to say,Arab Expat,Working Professional,"20,001-35,000",Ras Al Khaimah,Rarely,Magazines/TV,Gluten-Free,"Water, Soft Drinks, Sports Drinks",Somewhat Important,"Taste, Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation, Convenience, Other","Cost, Limited Options, None",Cafes/Restaurants,16-25,Neutral,Yes,"Free Samples, Recommendations, Attractive Packaging, Health Benefits","Tropical, Herbal, Other","Immunity, Digestion, Energy, Stress Relief, No Specific Issues","Too Expensive, Other","BrandE, BrandD",Unlikely,No,
25-34,Other,Arab Expat,Other,"<5,000",Ajman,Never,Magazines/TV,"Gluten-Free, Lactose-Free","Water, Sports Drinks, Tea/Coffee",Important,"Taste, Affordable Price, Convenience, Other","Lack of Information, Limited Options, None",Cafes/Restaurants,<5,Very Likely,Maybe,"Free Samples, Recommendations, Attractive Packaging, Health Benefits, Other","Berries, Chocolate","Weight Management, Stress Relief","Not Tasty, Good Value, Innovative, Other","BrandD, Brand_R",Unlikely,Maybe,
18-24,Male,Arab Expat,Student,"<5,000",Abu Dhabi,Daily,Friends/Family,Diabetic,"Water, Soft Drinks, Juices, Tea/Coffee, Milk",Very Important,"Low Sugar, Added Vitamins, Affordable Price, Brand Reputation, Other","Cost, Limited Options, Taste Preferences",Gyms,5-10,Very Likely,No,"Free Samples, Discounts, Other","Citrus, Tropical, Herbal, Chocolate","Digestion, Energy, Stress Relief, No Specific Issues","Not Widely Available, High Quality","BrandD, Brand_R",Very Unlikely,No,
55+,Female,Other,Homemaker,"20,001-35,000",Ajman,Frequently,Other,None,"Water, Juices, Tea/Coffee, Milk, Other",Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Other","Limited Options, Taste Preferences",Other,>25,Neutral,Maybe,"Free Samples, Discounts","Tropical, Herbal, Chocolate, Other","Immunity, Digestion, Weight Management, Skin/Hair health, Stress Relief","Too Expensive, Good Value","Brand_N, BrandA, BrandD",Likely,Yes,
55+,Male,Other,Working Professional,"20,001-35,000",Sharjah,Daily,Social Media,"Vegan, Gluten-Free, Diabetic","Water, Juices, Sports Drinks",Not Important,"Low Sugar, Affordable Price, Convenience","Lack of Time, Lack of Information, Limited Options",Convenience Stores,16-25,Neutral,Yes,"Free Samples, Discounts, Recommendations","Tropical, Herbal, Other","Immunity, Energy, Weight Management, Stress Relief, No Specific Issues","Good Value, High Quality","BrandE, Brand_V",Very Likely,No,
18-24,Female,Emirati,Retired,"35,001-50,000",Ras Al Khaimah,Frequently,Social Media,"Vegetarian, Gluten-Free","Water, Juices, Sports Drinks, Milk",Very Important,"Low Sugar, Natural Ingredients, Affordable Price, Brand Reputation, Convenience","Cost, Limited Options",Cafes/Restaurants,16-25,Very Unlikely,No,Attractive Packaging,"Berries, Tropical, Herbal, Chocolate","Digestion, Weight Management, Stress Relief","Too Expensive, Good Value, Innovative","BrandE, BrandA",Very Unlikely,Maybe,
35-44,Other,Arab Expat,Retired,">50,000",Sharjah,Never,Magazines/TV,"Vegan, Lactose-Free","Water, Juices, Tea/Coffee",Important,"Taste, Natural Ingredients, Affordable Price","Lack of Information, Limited Options, None",Other,16-25,Likely,Maybe,"Discounts, Recommendations, Health Benefits","Citrus, Tropical, Herbal, Other","Immunity, Energy, Weight Management, No Specific Issues","Good Value, High Quality, Other","Brand_P, BrandD",Unlikely,Yes,
Under 18,Prefer not to say,Western Expat,Retired,"20,001-35,000",Other,Rarely,Magazines/TV,Vegetarian,"Water, Soft Drinks, Energy Drinks, Milk, Other",Very Important,"Taste, Low Sugar, Natural Ingredients",Cost,Cafes/Restaurants,16-25,Very Unlikely,Yes,"Free Samples, Recommendations","Citrus, Tropical, Herbal, Chocolate","Immunity, Digestion, Skin/Hair health","Too Expensive, Not Tasty, Not Widely Available, Good Value","Brand_G, BrandE, BrandD",Likely,Yes,
18-24,Female,Other,Student,"5,000-10,000",Sharjah,Frequently,Friends/Family,Vegetarian,"Water, Soft Drinks, Sports Drinks, Tea/Coffee, Milk",Not Important,"Low Sugar, Natural Ingredients, Added Vitamins, Convenience","Lack of Time, Cost, Limited Options, Taste Preferences",Supermarkets,11-15,Very Likely,Yes,"Free Samples, Discounts, Attractive Packaging","Herbal, Plain","Skin/Hair health, Stress Relief","Too Expensive, Not Tasty, Other","BrandE, Brand_K",Unlikely,No,
35-44,Male,Asian Expat,Other,"20,001-35,000",Sharjah,Daily,Magazines/TV,"Vegan, Lactose-Free","Water, Soft Drinks, Juices, Energy Drinks, Milk",Not Important,"Taste, Low Sugar, Added Vitamins, Affordable Price",None,Convenience Stores,16-25,Very Likely,Yes,"Discounts, Recommendations, Attractive Packaging","Berries, Citrus, Tropical, Herbal, Plain",Digestion,"Too Expensive, Not Tasty, High Quality, Innovative, Other","BrandC, Brand_O",Likely,Maybe,
35-44,Female,Asian Expat,Homemaker,"10,001-20,000",Abu Dhabi,Frequently,Magazines/TV,"Vegan, Lactose-Free","Water, Soft Drinks, Juices, Energy Drinks, Tea/Coffee, Milk, Other",Extremely Important,"Taste, Added Vitamins, Convenience, Other","Cost, Taste Preferences, None",Supermarkets,11-15,Unlikely,Maybe,"Attractive Packaging, Other",Citrus,"Skin/Hair health, No Specific Issues","Too Expensive, Not Tasty, Innovative","BrandA, Brand_T",Unlikely,No,
55+,Prefer not to say,Asian Expat,Working Professional,"20,001-35,000",Other,Never,Friends/Family,"Vegetarian, Gluten-Free, Diabetic","Water, Juices, Energy Drinks",Not Important,"Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation","Lack of Time, Cost",Cafes/Restaurants,11-15,Likely,Yes,"Attractive Packaging, Health Benefits, Other","Tropical, Plain","Immunity, Energy","Not Widely Available, Good Value","BrandE, BrandB",Neutral,No,
18-24,Other,Emirati,Student,"<5,000",Ras Al Khaimah,Never,Magazines/TV,"Vegetarian, Gluten-Free","Water, Soft Drinks, Energy Drinks, Milk",Not Important,"Low Sugar, Convenience, Other","Lack of Time, Lack of Information, Taste Preferences",Gyms,<5,Likely,No,"Free Samples, Discounts","Berries, Citrus, Plain","Immunity, Digestion, Energy, Stress Relief","Too Expensive, Good Value, Innovative","Brand_T, BrandA, BrandD",Likely,No,
18-24,Male,Arab Expat,Other,"5,000-10,000",Dubai,Never,Magazines/TV,Vegan,"Water, Soft Drinks, Tea/Coffee, Milk, Other",Not Important,"Taste, Added Vitamins","Lack of Time, Cost, Lack of Information, None",Gyms,>25,Very Likely,No,"Free Samples, Discounts, Recommendations, Health Benefits","Berries, Other","Immunity, Digestion, Energy, Weight Management","Too Expensive, Innovative","BrandC, BrandE, BrandA, Brand_F",Likely,Yes,
55+,Other,Arab Expat,Business Owner,"20,001-35,000",Ajman,Rarely,Magazines/TV,"Lactose-Free, Diabetic","Water, Sports Drinks",Somewhat Important,"Low Sugar, Added Vitamins, Affordable Price, Brand Reputation, Other","Lack of Time, Cost, Lack of Information, Limited Options, Taste Preferences",Supermarkets,<5,Very Unlikely,Yes,"Free Samples, Recommendations, Health Benefits, Other","Berries, Citrus, Herbal, Plain","Immunity, Digestion, Weight Management, No Specific Issues","Not Widely Available, Innovative","BrandC, Brand_U",Likely,No,
25-34,Other,Other,Working Professional,"5,000-10,000",Abu Dhabi,Never,Other,"Vegan, Diabetic","Water, Sports Drinks",Not Important,"Added Vitamins, Convenience","Cost, Taste Preferences, None",Gyms,11-15,Neutral,Yes,"Discounts, Attractive Packaging, Health Benefits","Citrus, Herbal, Chocolate, Plain","Digestion, Skin/Hair health, No Specific Issues",Good Value,"BrandD, Brand_M",Neutral,No,
18-24,Prefer not to say,Asian Expat,Retired,">50,000",Ras Al Khaimah,Rarely,Social Media,"Gluten-Free, Lactose-Free, Diabetic","Water, Soft Drinks, Tea/Coffee, Milk, Other",Extremely Important,"Taste, Low Sugar, Other",Lack of Information,Cafes/Restaurants,<5,Likely,No,"Discounts, Recommendations, Health Benefits",Tropical,"Weight Management, Stress Relief, No Specific Issues","Not Widely Available, Other","Brand_I, BrandD",Neutral,No,
Under 18,Female,Emirati,Retired,"35,001-50,000",Other,Occasionally,Health Professionals,Lactose-Free,"Water, Tea/Coffee, Other",Very Important,"Taste, Low Sugar, Added Vitamins, Affordable Price, Convenience","Cost, Limited Options, Taste Preferences",Supermarkets,5-10,Neutral,No,"Free Samples, Attractive Packaging, Health Benefits, Other","Citrus, Chocolate, Other","Immunity, Digestion, Energy",Other,"BrandC, Brand_M",Unlikely,No,
Under 18,Female,Western Expat,Other,"5,000-10,000",Sharjah,Frequently,Social Media,"Gluten-Free, Diabetic","Water, Soft Drinks, Juices, Energy Drinks, Milk",Somewhat Important,"Low Sugar, Added Vitamins, Affordable Price, Brand Reputation, Other","Lack of Time, Limited Options, Taste Preferences",Online,16-25,Very Likely,Yes,"Recommendations, Attractive Packaging, Health Benefits","Berries, Citrus, Tropical, Chocolate","Digestion, Energy, Weight Management, Skin/Hair health","Too Expensive, Not Tasty, Innovative, Other","BrandE, Brand_W, BrandD",Very Likely,Maybe,
45-54,Female,Arab Expat,Student,"<5,000",Dubai,Daily,Other,"Gluten-Free, Lactose-Free","Water, Juices, Energy Drinks, Sports Drinks, Tea/Coffee, Milk",Very Important,"Taste, Low Sugar","Lack of Time, Lack of Information, Limited Options, None",Other,16-25,Unlikely,No,"Discounts, Recommendations, Attractive Packaging","Berries, Herbal, Chocolate, Plain","Immunity, Weight Management, No Specific Issues","Too Expensive, Not Tasty, Not Widely Available, Innovative","BrandA, Brand_W",Unlikely,Maybe,
45-54,Female,Arab Expat,Retired,"35,001-50,000",Sharjah,Rarely,Health Professionals,"Vegetarian, Vegan, Gluten-Free","Water, Tea/Coffee, Milk",Very Important,"Low Sugar, Added Vitamins, Affordable Price, Brand Reputation","Lack of Time, Limited Options, Taste Preferences, None",Online,11-15,Very Likely,Yes,"Free Samples, Discounts, Recommendations, Attractive Packaging, Other","Tropical, Chocolate, Plain","Immunity, Weight Management, Stress Relief","Too Expensive, Not Tasty, Good Value, High Quality","BrandE, BrandA, BrandB",Likely,Maybe,
18-24,Male,Emirati,Homemaker,"20,001-35,000",Ajman,Rarely,Social Media,"Vegan, Lactose-Free","Water, Tea/Coffee, Milk, Other",Extremely Important,"Low Sugar, Natural Ingredients, Affordable Price, Other","Cost, Limited Options, None",Gyms,<5,Neutral,Maybe,"Free Samples, Attractive Packaging, Health Benefits, Other","Berries, Tropical, Other","Immunity, Digestion, Skin/Hair health","Not Widely Available, Good Value, Innovative","BrandA, BrandB, Brand_L",Likely,Yes,
35-44,Other,Other,Student,">50,000",Other,Daily,Friends/Family,"Vegetarian, Gluten-Free, Lactose-Free","Water, Tea/Coffee, Other",Somewhat Important,"Taste, Convenience",Lack of Information,Supermarkets,5-10,Very Likely,Yes,"Free Samples, Discounts, Recommendations, Attractive Packaging, Other","Berries, Tropical, Herbal, Chocolate",Energy,"Too Expensive, Not Widely Available, Innovative","BrandB, Brand_U",Unlikely,Maybe,
Under 18,Female,Emirati,Retired,">50,000",Dubai,Frequently,Other,"Vegetarian, Vegan, Diabetic","Juices, Tea/Coffee, Milk",Important,"Taste, Added Vitamins",Limited Options,Supermarkets,5-10,Likely,Yes,"Discounts, Recommendations, Attractive Packaging","Berries, Citrus, Herbal",Digestion,"Not Tasty, Not Widely Available, High Quality","BrandE, BrandB, Brand_V",Very Unlikely,No,
Under 18,Other,Other,Homemaker,">50,000",Ras Al Khaimah,Never,Friends/Family,"Vegetarian, Gluten-Free, Lactose-Free, Diabetic","Water, Juices, Energy Drinks, Sports Drinks, Tea/Coffee, Milk",Not Important,"Taste, Natural Ingredients, Affordable Price, Convenience","Lack of Time, Lack of Information, Taste Preferences",Cafes/Restaurants,5-10,Neutral,Maybe,"Recommendations, Health Benefits, Other","Berries, Citrus, Tropical, Herbal, Chocolate, Plain","Immunity, Energy, Weight Management, Skin/Hair health, No Specific Issues","Not Tasty, Good Value, Innovative, Other","BrandE, Brand_L",Very Likely,No,
55+,Male,Arab Expat,Other,"5,000-10,000",Ras Al Khaimah,Frequently,Friends/Family,"Gluten-Free, Lactose-Free","Juices, Energy Drinks, Tea/Coffee, Milk",Very Important,"Taste, Natural Ingredients, Affordable Price, Brand Reputation","Lack of Time, None",Supermarkets,11-15,Neutral,Yes,"Free Samples, Discounts, Recommendations, Health Benefits","Berries, Citrus, Herbal, Plain","Immunity, Energy, Weight Management, Skin/Hair health, Stress Relief",Too Expensive,"BrandB, Brand_R",Neutral,Maybe,
Under 18,Male,Other,Other,"35,001-50,000",Other,Rarely,Social Media,"Vegan, Gluten-Free, Lactose-Free","Water, Soft Drinks, Sports Drinks, Milk",Very Important,"Added Vitamins, Convenience","Limited Options, Taste Preferences, None",Supermarkets,<5,Unlikely,Yes,"Discounts, Attractive Packaging, Health Benefits, Other","Berries, Citrus, Tropical, Chocolate","Immunity, Weight Management, No Specific Issues","Too Expensive, Innovative, Other","BrandA, Brand_X",Very Likely,Yes,
35-44,Male,Other,Student,"20,001-35,000",Other,Never,Health Professionals,Vegetarian,"Water, Juices, Tea/Coffee",Extremely Important,"Low Sugar, Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation, Convenience, Other","Cost, Lack of Information, Limited Options",Other,5-10,Likely,Maybe,"Recommendations, Health Benefits","Berries, Citrus, Tropical, Chocolate, Plain","Immunity, Digestion, Weight Management, No Specific Issues",Not Tasty,"BrandA, Brand_Z",Very Unlikely,Yes,
45-54,Other,Other,Student,">50,000",Abu Dhabi,Occasionally,Magazines/TV,"Vegetarian, Vegan, Gluten-Free",Soft Drinks,Extremely Important,"Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation, Other","Cost, Lack of Information",Convenience Stores,5-10,Very Unlikely,No,"Discounts, Recommendations, Attractive Packaging, Health Benefits","Citrus, Chocolate, Other","Immunity, Digestion, No Specific Issues","Good Value, High Quality, Other","BrandE, Brand_S",Unlikely,Yes,
45-54,Female,Other,Homemaker,">50,000",Sharjah,Daily,Magazines/TV,"Vegan, Diabetic","Water, Soft Drinks, Milk",Extremely Important,"Low Sugar, Natural Ingredients, Added Vitamins, Affordable Price, Convenience",Limited Options,Online,<5,Unlikely,No,"Recommendations, Attractive Packaging, Other",Other,"Digestion, Energy, Skin/Hair health, No Specific Issues","Not Tasty, Not Widely Available, Good Value","BrandC, BrandE, Brand_P",Unlikely,No,
